model,similarity_mode,total_tokens,target_distance_tokens,correct
llama3.2,high,4000,2500,1
llama3.2,high,6000,4500,0
llama3.2,high,8000,6500,0
llama3.2,high,10000,8500,1
llama3.2,high,12000,10500,0
llama3.2,high,14000,12500,0
llama3.2,high,16000,14500,0
llama3.2,high,18000,16500,0
llama3.2,high,20000,18500,0
llama3.2,high,22000,20500,0
llama3.2,high,24000,22500,0
llama3.2,high,26000,24500,0
llama3.2,high,28000,26500,0
llama3.2,high,30000,28500,0
llama3.2,high,32000,30500,0
llama3.2,high,34000,32500,0
llama3.2,high,36000,34500,0
llama3.2,high,38000,36500,0
llama3.2,high,40000,38500,0
llama3.2,high,42000,40500,0
llama3.2,high,44000,42500,0
llama3.2,high,46000,44500,0
llama3.2,high,48000,46500,0
llama3.2,high,50000,48500,0
llama3.2,high,52000,50500,0
llama3.2,low,4000,2500,1
llama3.2,low,6000,4500,1
llama3.2,low,8000,6500,1
llama3.2,low,10000,8500,1
llama3.2,low,12000,10500,1
llama3.2,low,14000,12500,1
llama3.2,low,16000,14500,1
llama3.2,low,18000,16500,0
llama3.2,low,20000,18500,0
llama3.2,low,22000,20500,1
llama3.2,low,24000,22500,1
llama3.2,low,26000,24500,1
llama3.2,low,28000,26500,0
llama3.2,low,30000,28500,1
llama3.2,low,32000,30500,0
llama3.2,low,34000,32500,0
llama3.2,low,36000,34500,0
llama3.2,low,38000,36500,0
llama3.2,low,40000,38500,0
llama3.2,low,42000,40500,0
llama3.2,low,44000,42500,0
llama3.2,low,46000,44500,0
llama3.2,low,48000,46500,0
llama3.2,low,50000,48500,0
llama3.2,low,52000,50500,0
gpt4t,high,4000,2500,1
gpt4t,high,6000,4500,1
gpt4t,high,8000,6500,1
gpt4t,high,10000,8500,0
gpt4t,high,12000,10500,0
gpt4t,high,14000,12500,0
gpt4t,high,16000,14500,0
gpt4t,high,18000,16500,0
gpt4t,high,20000,18500,0
gpt4t,high,22000,20500,0
gpt4t,high,24000,22500,0
gpt4t,high,26000,24500,0
gpt4t,high,28000,26500,0
gpt4t,high,30000,28500,0
gpt4t,high,32000,30500,0
gpt4t,high,34000,32500,0
gpt4t,high,36000,34500,0
gpt4t,high,38000,36500,0
gpt4t,high,40000,38500,0
gpt4t,high,42000,40500,0
gpt4t,high,44000,42500,0
gpt4t,high,46000,44500,0
gpt4t,high,48000,46500,0
gpt4t,high,50000,48500,0
gpt4t,high,52000,50500,0
gpt4t,low,4000,2500,1
gpt4t,low,6000,4500,1
gpt4t,low,8000,6500,1
gpt4t,low,10000,8500,0
gpt4t,low,12000,10500,1
gpt4t,low,14000,12500,1
gpt4t,low,16000,14500,0
gpt4t,low,18000,16500,1
gpt4t,low,20000,18500,0
gpt4t,low,22000,20500,0
gpt4t,low,24000,22500,0
gpt4t,low,26000,24500,0
gpt4t,low,28000,26500,0
gpt4t,low,30000,28500,1
gpt4t,low,32000,30500,0
gpt4t,low,34000,32500,1
gpt4t,low,36000,34500,1
gpt4t,low,38000,36500,0
gpt4t,low,40000,38500,0
gpt4t,low,42000,40500,0
gpt4t,low,44000,42500,0
gpt4t,low,46000,44500,0
gpt4t,low,48000,46500,0
gpt4t,low,50000,48500,0
gpt4t,low,52000,50500,0
claude3,high,4000,2500,1
claude3,high,6000,4500,1
claude3,high,8000,6500,0
claude3,high,10000,8500,0
claude3,high,12000,10500,0
claude3,high,14000,12500,0
claude3,high,16000,14500,0
claude3,high,18000,16500,0
claude3,high,20000,18500,0
claude3,high,22000,20500,0
claude3,high,24000,22500,0
claude3,high,26000,24500,0
claude3,high,28000,26500,0
claude3,high,30000,28500,0
claude3,high,32000,30500,0
claude3,high,34000,32500,0
claude3,high,36000,34500,0
claude3,high,38000,36500,0
claude3,high,40000,38500,0
claude3,high,42000,40500,0
claude3,high,44000,42500,0
claude3,high,46000,44500,0
claude3,high,48000,46500,0
claude3,high,50000,48500,0
claude3,high,52000,50500,0
claude3,low,4000,2500,1
claude3,low,6000,4500,1
claude3,low,8000,6500,1
claude3,low,10000,8500,1
claude3,low,12000,10500,1
claude3,low,14000,12500,1
claude3,low,16000,14500,0
claude3,low,18000,16500,1
claude3,low,20000,18500,1
claude3,low,22000,20500,1
claude3,low,24000,22500,0
claude3,low,26000,24500,1
claude3,low,28000,26500,1
claude3,low,30000,28500,1
claude3,low,32000,30500,0
claude3,low,34000,32500,0
claude3,low,36000,34500,0
claude3,low,38000,36500,1
claude3,low,40000,38500,0
claude3,low,42000,40500,0
claude3,low,44000,42500,0
claude3,low,46000,44500,0
claude3,low,48000,46500,0
claude3,low,50000,48500,0
claude3,low,52000,50500,0
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,2154,1374,1
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,4078,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,8136,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
llama3.2,high,4096,13546,0
