idx,name,code,text,cosine_to_target
0,Alpha_00000,ZK32F00000,"Record(name=Alpha_00000, code=ZK32F00000)",0.9702637843811303
1,Alpha_00001,ZK32F00001,"Record(name=Alpha_00001, code=ZK32F00001)",0.9607611292641395
2,Alpha_00002,ZK32F00002,"Record(name=Alpha_00002, code=ZK32F00002)",0.9704321992884473
3,Alpha_00003,ZK32F00003,"Record(name=Alpha_00003, code=ZK32F00003)",0.9717069353201574
4,Alpha_00004,ZK32F00004,"Record(name=Alpha_00004, code=ZK32F00004)",0.9756907308797844
5,Alpha_00005,ZK32F00005,"Record(name=Alpha_00005, code=ZK32F00005)",0.9752047574852886
6,Alpha_00006,ZK32F00006,"Record(name=Alpha_00006, code=ZK32F00006)",0.9747212569972673
7,Alpha_00007,ZK32F00007,"Record(name=Alpha_00007, code=ZK32F00007)",0.9772772376220463
8,Alpha_00008,ZK32F00008,"Record(name=Alpha_00008, code=ZK32F00008)",0.9776610143503193
9,Alpha_00009,ZK32F00009,"Record(name=Alpha_00009, code=ZK32F00009)",0.9804368795391939
10,Alpha_00010,ZK32F00010,"Record(name=Alpha_00010, code=ZK32F00010)",0.9777467549130207
11,Alpha_00011,ZK32F00011,"Record(name=Alpha_00011, code=ZK32F00011)",0.9778153159213147
12,Alpha_00012,ZK32F00012,"Record(name=Alpha_00012, code=ZK32F00012)",0.9750444397039889
13,Alpha_00013,ZK32F00013,"Record(name=Alpha_00013, code=ZK32F00013)",0.9772492098443064
14,Alpha_00014,ZK32F00014,"Record(name=Alpha_00014, code=ZK32F00014)",0.9796914225372881
15,Alpha_00015,ZK32F00015,"Record(name=Alpha_00015, code=ZK32F00015)",0.9781758132563891
16,Alpha_00016,ZK32F00016,"Record(name=Alpha_00016, code=ZK32F00016)",0.9769638360503706
17,Alpha_00017,ZK32F00017,"Record(name=Alpha_00017, code=ZK32F00017)",0.9789585739826684
18,Alpha_00018,ZK32F00018,"Record(name=Alpha_00018, code=ZK32F00018)",0.9781255652435413
19,Alpha_00019,ZK32F00019,"Record(name=Alpha_00019, code=ZK32F00019)",0.9798514318584584
20,Alpha_00020,ZK32F00020,"Record(name=Alpha_00020, code=ZK32F00020)",0.9786655411991456
21,Alpha_00021,ZK32F00021,"Record(name=Alpha_00021, code=ZK32F00021)",0.9765798411461434
22,Alpha_00022,ZK32F00022,"Record(name=Alpha_00022, code=ZK32F00022)",0.9746164623438527
23,Alpha_00023,ZK32F00023,"Record(name=Alpha_00023, code=ZK32F00023)",0.9750024671363311
24,Alpha_00024,ZK32F00024,"Record(name=Alpha_00024, code=ZK32F00024)",0.9766835165127689
25,Alpha_00025,ZK32F00025,"Record(name=Alpha_00025, code=ZK32F00025)",0.9779088411111141
26,Alpha_00026,ZK32F00026,"Record(name=Alpha_00026, code=ZK32F00026)",0.9786065365978894
27,Alpha_00027,ZK32F00027,"Record(name=Alpha_00027, code=ZK32F00027)",0.9768430963319847
28,Alpha_00028,ZK32F00028,"Record(name=Alpha_00028, code=ZK32F00028)",0.9776921510438646
29,Alpha_00029,ZK32F00029,"Record(name=Alpha_00029, code=ZK32F00029)",0.978254562089611
30,Alpha_00030,ZK32F00030,"Record(name=Alpha_00030, code=ZK32F00030)",0.9802405116374974
31,Alpha_00031,ZK32F00031,"Record(name=Alpha_00031, code=ZK32F00031)",0.9773828520122485
32,Alpha_00032,ZK32F00032,"Record(name=Alpha_00032, code=ZK32F00032)",0.9770177403236497
33,Alpha_00033,ZK32F00033,"Record(name=Alpha_00033, code=ZK32F00033)",0.9796884359016043
34,Alpha_00034,ZK32F00034,"Record(name=Alpha_00034, code=ZK32F00034)",0.9805631845240217
35,Alpha_00035,ZK32F00035,"Record(name=Alpha_00035, code=ZK32F00035)",0.9796270419398733
36,Alpha_00036,ZK32F00036,"Record(name=Alpha_00036, code=ZK32F00036)",0.9794893632341697
37,Alpha_00037,ZK32F00037,"Record(name=Alpha_00037, code=ZK32F00037)",0.9787779152252891
38,Alpha_00038,ZK32F00038,"Record(name=Alpha_00038, code=ZK32F00038)",0.9762995576059722
39,Alpha_00039,ZK32F00039,"Record(name=Alpha_00039, code=ZK32F00039)",0.9794635662541358
40,Alpha_00040,ZK32F00040,"Record(name=Alpha_00040, code=ZK32F00040)",0.9813009461558243
41,Alpha_00041,ZK32F00041,"Record(name=Alpha_00041, code=ZK32F00041)",0.9792728671796785
42,Alpha_00042,ZK32F00042,"Record(name=Alpha_00042, code=ZK32F00042)",0.9797633820565858
43,Alpha_00043,ZK32F00043,"Record(name=Alpha_00043, code=ZK32F00043)",0.979769020911621
44,Alpha_00044,ZK32F00044,"Record(name=Alpha_00044, code=ZK32F00044)",0.982253244671942
45,Alpha_00045,ZK32F00045,"Record(name=Alpha_00045, code=ZK32F00045)",0.9800148668676955
46,Alpha_00046,ZK32F00046,"Record(name=Alpha_00046, code=ZK32F00046)",0.9795834103727002
47,Alpha_00047,ZK32F00047,"Record(name=Alpha_00047, code=ZK32F00047)",0.9809052544699125
48,Alpha_00048,ZK32F00048,"Record(name=Alpha_00048, code=ZK32F00048)",0.9788339739064236
49,Alpha_00049,ZK32F00049,"Record(name=Alpha_00049, code=ZK32F00049)",0.983023318679617
50,Alpha_00050,ZK32F00050,"Record(name=Alpha_00050, code=ZK32F00050)",0.9817218216825556
51,Alpha_00051,ZK32F00051,"Record(name=Alpha_00051, code=ZK32F00051)",0.9820264161531582
52,Alpha_00052,ZK32F00052,"Record(name=Alpha_00052, code=ZK32F00052)",0.9814595781618843
53,Alpha_00053,ZK32F00053,"Record(name=Alpha_00053, code=ZK32F00053)",0.982028272708886
54,Alpha_00054,ZK32F00054,"Record(name=Alpha_00054, code=ZK32F00054)",0.9794880752859758
55,Alpha_00055,ZK32F00055,"Record(name=Alpha_00055, code=ZK32F00055)",0.98226774404002
56,Alpha_00056,ZK32F00056,"Record(name=Alpha_00056, code=ZK32F00056)",0.9812440577722337
57,Alpha_00057,ZK32F00057,"Record(name=Alpha_00057, code=ZK32F00057)",0.979139029090293
58,Alpha_00058,ZK32F00058,"Record(name=Alpha_00058, code=ZK32F00058)",0.980696765697203
59,Alpha_00059,ZK32F00059,"Record(name=Alpha_00059, code=ZK32F00059)",0.9829538523471841
60,Alpha_00060,ZK32F00060,"Record(name=Alpha_00060, code=ZK32F00060)",0.9810389369214688
61,Alpha_00061,ZK32F00061,"Record(name=Alpha_00061, code=ZK32F00061)",0.981213793530043
62,Alpha_00062,ZK32F00062,"Record(name=Alpha_00062, code=ZK32F00062)",0.9787941164891348
63,Alpha_00063,ZK32F00063,"Record(name=Alpha_00063, code=ZK32F00063)",0.9791499226371116
64,Alpha_00064,ZK32F00064,"Record(name=Alpha_00064, code=ZK32F00064)",0.9796341925933629
65,Alpha_00065,ZK32F00065,"Record(name=Alpha_00065, code=ZK32F00065)",0.9801206674647428
66,Alpha_00066,ZK32F00066,"Record(name=Alpha_00066, code=ZK32F00066)",0.980872108819342
67,Alpha_00067,ZK32F00067,"Record(name=Alpha_00067, code=ZK32F00067)",0.9771495942376937
68,Alpha_00068,ZK32F00068,"Record(name=Alpha_00068, code=ZK32F00068)",0.9805432276497984
69,Alpha_00069,ZK32F00069,"Record(name=Alpha_00069, code=ZK32F00069)",0.9828314185376855
70,Alpha_00070,ZK32F00070,"Record(name=Alpha_00070, code=ZK32F00070)",0.9802779347995555
71,Alpha_00071,ZK32F00071,"Record(name=Alpha_00071, code=ZK32F00071)",0.9800715987428329
72,Alpha_00072,ZK32F00072,"Record(name=Alpha_00072, code=ZK32F00072)",0.9811980744634676
73,Alpha_00073,ZK32F00073,"Record(name=Alpha_00073, code=ZK32F00073)",0.9789060993137065
74,Alpha_00074,ZK32F00074,"Record(name=Alpha_00074, code=ZK32F00074)",0.9799774496908836
75,Alpha_00075,ZK32F00075,"Record(name=Alpha_00075, code=ZK32F00075)",0.9809981842787961
76,Alpha_00076,ZK32F00076,"Record(name=Alpha_00076, code=ZK32F00076)",0.9795120142581986
77,Alpha_00077,ZK32F00077,"Record(name=Alpha_00077, code=ZK32F00077)",0.9824987765726404
78,Alpha_00078,ZK32F00078,"Record(name=Alpha_00078, code=ZK32F00078)",0.9753798948809534
79,Alpha_00079,ZK32F00079,"Record(name=Alpha_00079, code=ZK32F00079)",0.9809846401959224
80,Alpha_00080,ZK32F00080,"Record(name=Alpha_00080, code=ZK32F00080)",0.9819336540961019
81,Alpha_00081,ZK32F00081,"Record(name=Alpha_00081, code=ZK32F00081)",0.9805041709372591
82,Alpha_00082,ZK32F00082,"Record(name=Alpha_00082, code=ZK32F00082)",0.9805849028307193
83,Alpha_00083,ZK32F00083,"Record(name=Alpha_00083, code=ZK32F00083)",0.9790840951861883
84,Alpha_00084,ZK32F00084,"Record(name=Alpha_00084, code=ZK32F00084)",0.9793226731666215
85,Alpha_00085,ZK32F00085,"Record(name=Alpha_00085, code=ZK32F00085)",0.9816958292520515
86,Alpha_00086,ZK32F00086,"Record(name=Alpha_00086, code=ZK32F00086)",0.9792036422303735
87,Alpha_00087,ZK32F00087,"Record(name=Alpha_00087, code=ZK32F00087)",0.9787612311687852
88,Alpha_00088,ZK32F00088,"Record(name=Alpha_00088, code=ZK32F00088)",0.981100782437077
89,Alpha_00089,ZK32F00089,"Record(name=Alpha_00089, code=ZK32F00089)",0.9820271709785258
90,Alpha_00090,ZK32F00090,"Record(name=Alpha_00090, code=ZK32F00090)",0.9807057982756809
91,Alpha_00091,ZK32F00091,"Record(name=Alpha_00091, code=ZK32F00091)",0.9812620028388505
92,Alpha_00092,ZK32F00092,"Record(name=Alpha_00092, code=ZK32F00092)",0.9814211638293923
93,Alpha_00093,ZK32F00093,"Record(name=Alpha_00093, code=ZK32F00093)",0.9824563454239619
94,Alpha_00094,ZK32F00094,"Record(name=Alpha_00094, code=ZK32F00094)",0.9820612112768009
95,Alpha_00095,ZK32F00095,"Record(name=Alpha_00095, code=ZK32F00095)",0.9821072193765611
96,Alpha_00096,ZK32F00096,"Record(name=Alpha_00096, code=ZK32F00096)",0.9800340092850162
97,Alpha_00097,ZK32F00097,"Record(name=Alpha_00097, code=ZK32F00097)",0.9786129453011573
98,Alpha_00098,ZK32F00098,"Record(name=Alpha_00098, code=ZK32F00098)",0.979364786164349
99,Alpha_00099,ZK32F00099,"Record(name=Alpha_00099, code=ZK32F00099)",0.9802931046108166
100,Alpha_00100,ZK32F00100,"Record(name=Alpha_00100, code=ZK32F00100)",0.9637485915171035
101,Alpha_00101,ZK32F00101,"Record(name=Alpha_00101, code=ZK32F00101)",0.9668404869099295
102,Alpha_00102,ZK32F00102,"Record(name=Alpha_00102, code=ZK32F00102)",0.9712162360896511
103,Alpha_00103,ZK32F00103,"Record(name=Alpha_00103, code=ZK32F00103)",0.9733459969482875
104,Alpha_00104,ZK32F00104,"Record(name=Alpha_00104, code=ZK32F00104)",0.9757305873247509
105,Alpha_00105,ZK32F00105,"Record(name=Alpha_00105, code=ZK32F00105)",0.9755146946912807
106,Alpha_00106,ZK32F00106,"Record(name=Alpha_00106, code=ZK32F00106)",0.9734692635807748
107,Alpha_00107,ZK32F00107,"Record(name=Alpha_00107, code=ZK32F00107)",0.9754687025455456
108,Alpha_00108,ZK32F00108,"Record(name=Alpha_00108, code=ZK32F00108)",0.9762255854961253
109,Alpha_00109,ZK32F00109,"Record(name=Alpha_00109, code=ZK32F00109)",0.979868631120674
110,Alpha_00110,ZK32F00110,"Record(name=Alpha_00110, code=ZK32F00110)",0.9779811878338119
111,Alpha_00111,ZK32F00111,"Record(name=Alpha_00111, code=ZK32F00111)",0.9740724434179684
112,Alpha_00112,ZK32F00112,"Record(name=Alpha_00112, code=ZK32F00112)",0.9756508171078434
113,Alpha_00113,ZK32F00113,"Record(name=Alpha_00113, code=ZK32F00113)",0.9763536514910319
114,Alpha_00114,ZK32F00114,"Record(name=Alpha_00114, code=ZK32F00114)",0.9789302061488643
115,Alpha_00115,ZK32F00115,"Record(name=Alpha_00115, code=ZK32F00115)",0.9761828888995955
116,Alpha_00116,ZK32F00116,"Record(name=Alpha_00116, code=ZK32F00116)",0.9758342380117294
117,Alpha_00117,ZK32F00117,"Record(name=Alpha_00117, code=ZK32F00117)",0.9769913475270275
118,Alpha_00118,ZK32F00118,"Record(name=Alpha_00118, code=ZK32F00118)",0.9774108963806174
119,Alpha_00119,ZK32F00119,"Record(name=Alpha_00119, code=ZK32F00119)",0.9776155280547522
120,Alpha_00120,ZK32F00120,"Record(name=Alpha_00120, code=ZK32F00120)",0.9750829418415223
121,Alpha_00121,ZK32F00121,"Record(name=Alpha_00121, code=ZK32F00121)",0.974387476401215
122,Alpha_00122,ZK32F00122,"Record(name=Alpha_00122, code=ZK32F00122)",0.971716125300933
